barrio;ciudad;Costo Prom;STD Costo;Costo Med;Prom $/m2 Total;STD $/m2 Total;Med $/m2 Total;Prom $/m2 Edif;STD $/m2 Edif;Med $/m2 Edif;Cant
10 DE AGOSTO;CORDOBA;165643.0;143002.0;95000.0;427.0;320.0;338.0;929.0;440.0;646.0;14
16 DE NOVIEMBRE;CORDOBA;29167.0;5795.0;30000.0;107.0;26.0;121.0;387.0;208.0;278.0;3
9 DE JULIO;LA CALERA;69500.0;;69500.0;154.0;;154.0;278.0;;278.0;1
A.T.E.;CORDOBA;118650.0;56252.0;100400.0;718.0;370.0;718.0;960.0;381.0;1072.0;12
AATRA;CORDOBA;78000.0;;78000.0;39.0;;39.0;441.0;;441.0;1
ACOSTA;CORDOBA;41317.0;17582.0;34000.0;175.0;89.0;154.0;251.0;63.0;272.0;6
ALBERDI;CORDOBA;58406.0;43820.0;45000.0;861.0;293.0;880.0;635.0;304.0;586.0;570
ALEJANDRO CARBO;CORDOBA;28000.0;;28000.0;140.0;;140.0;241.0;;241.0;1
ALEJANDRO CENTENO;CORDOBA;185407.0;89205.0;150000.0;503.0;219.0;476.0;799.0;191.0;768.0;27
ALEM L.N.(E);CORDOBA;38000.0;;38000.0;250.0;;250.0;388.0;;388.0;1
ALEM L.N.(O);CORDOBA;53500.0;25929.0;47500.0;394.0;143.0;368.0;357.0;132.0;357.0;4
ALTA CORDOBA;CORDOBA;76452.0;51009.0;60000.0;790.0;355.0;817.0;605.0;255.0;581.0;424
ALTAMIRA;CORDOBA;60600.0;26424.0;58000.0;291.0;118.0;266.0;456.0;126.0;437.0;25
ALTO ALBERDI;CORDOBA;69329.0;48165.0;52000.0;734.0;387.0;778.0;537.0;193.0;541.0;435
ALTO GENERAL PAZ;CORDOBA;66606.0;39969.0;55000.0;525.0;563.0;375.0;433.0;187.0;451.0;41
ALTO HERMOSO;CORDOBA;190000.0;;190000.0;263.0;;263.0;1050.0;;1050.0;1
ALTO PALERMO;CORDOBA;211538.0;55317.0;240000.0;524.0;237.0;500.0;873.0;175.0;773.0;13
ALTO VERDE;CORDOBA;163575.0;79953.0;143000.0;888.0;887.0;558.0;804.0;205.0;759.0;109
ALTO WARCALDE;LA CALERA;290000.0;0.0;290000.0;697.0;31.0;701.0;1146.0;56.0;1151.0;4
ALTOS DE LA CALERA;LA CALERA;96867.0;30173.0;89000.0;607.0;258.0;664.0;876.0;283.0;810.0;15
ALTOS DE MANANTIALES;CORDOBA;188412.0;72300.0;195000.0;1009.0;315.0;904.0;1170.0;423.0;1368.0;17
ALTOS DE SAN MARTIN;CORDOBA;139167.0;63943.0;142500.0;624.0;177.0;633.0;807.0;248.0;842.0;12
ALTOS DE SANTA ANA;CORDOBA;57167.0;13512.0;52000.0;264.0;48.0;290.0;457.0;155.0;457.0;3
ALTOS DE VELEZ SARSFIELD;CORDOBA;84083.0;44824.0;77500.0;352.0;183.0;319.0;540.0;268.0;587.0;12
ALTOS DE VILLA CABRERA;CORDOBA;157217.0;52638.0;153500.0;573.0;289.0;499.0;841.0;220.0;895.0;18
ALTOS DE VILLA SOL;CORDOBA;139764.0;133492.0;100000.0;1357.0;274.0;1289.0;;;;39
ALTOS DEL CHATEAU;CORDOBA;516562.0;194284.0;560000.0;521.0;292.0;433.0;1372.0;313.0;1388.0;32
AMEGHINO NORTE;CORDOBA;39000.0;;39000.0;78.0;;78.0;307.0;;307.0;1
AMEGHINO SUD;CORDOBA;68833.0;18829.0;65000.0;268.0;117.0;224.0;403.0;114.0;455.0;12
AMP. LAS PALMAS;CORDOBA;52500.0;24749.0;52500.0;392.0;105.0;392.0;569.0;;569.0;2
AMP. PALMAR;CORDOBA;98000.0;;98000.0;389.0;;389.0;867.0;;867.0;1
AMP. PUEYRREDON;CORDOBA;74600.0;35750.0;74000.0;314.0;231.0;266.0;439.0;261.0;374.0;10
AMP. RESIDENCIAL AMERICA;CORDOBA;49800.0;16738.0;47000.0;233.0;117.0;188.0;377.0;133.0;342.0;15
AMP. ROSEDAL;CORDOBA;115000.0;;115000.0;436.0;;436.0;548.0;;548.0;1
AMP. SAN FERNANDO;CORDOBA;35000.0;;35000.0;85.0;;85.0;307.0;;307.0;1
AMP. SAN PABLO;CORDOBA;58455.0;24853.0;57000.0;486.0;253.0;492.0;531.0;234.0;377.0;11
AMPL. CERVECEROS;CORDOBA;28000.0;;28000.0;286.0;;286.0;359.0;;359.0;1
AMPL. LOS PLATANOS;CORDOBA;69000.0;;69000.0;225.0;;225.0;445.0;;445.0;1
AMPL. MATIENZO;CORDOBA;40000.0;;40000.0;533.0;;533.0;;;;1
