ciudad;Costo Prom;STD Costo;Costo Med;Prom $/m2 Total;STD $/m2 Total;Med $/m2 Total;Prom $/m2 Edif;STD $/m2 Edif;Med $/m2 Edif;Cant
ACHIRAS;135000.0;;135000.0;386.0;;386.0;540.0;;540.0;1
AGUA DE ORO;87000.0;33199.0;70000.0;199.0;171.0;156.0;655.0;195.0;663.0;14
ALMAFUERTE;74000.0;0.0;74000.0;134.0;3.0;134.0;435.0;;435.0;2
ALTA GRACIA;120041.0;95791.0;84950.0;373.0;316.0;285.0;742.0;305.0;685.0;128
AMBOY;57500.0;3536.0;57500.0;128.0;8.0;128.0;800.0;424.0;800.0;2
ANISACATE;73461.0;45626.0;60000.0;173.0;292.0;89.0;611.0;309.0;552.0;41
ARROYO DE LOS PATOS;117000.0;;117000.0;87.0;;87.0;603.0;;603.0;1
ASCOCHINGA;131667.0;115902.0;115000.0;53.0;22.0;42.0;586.0;388.0;773.0;3
BIALET MASSE;105866.0;67860.0;82000.0;171.0;162.0;167.0;596.0;202.0;556.0;41
CABALANGO;98938.0;103749.0;74250.0;186.0;226.0;116.0;568.0;162.0;500.0;8
CALERA CENTRAL;187571.0;112929.0;190000.0;504.0;316.0;475.0;864.0;332.0;777.0;7
CALMAYO;45000.0;;45000.0;39.0;;39.0;;;;1
CANDELARIA;48000.0;;48000.0;400.0;;400.0;23.0;;23.0;1
CAPILLA DE DOLORES;50000.0;;50000.0;24.0;;24.0;385.0;;385.0;1
CAPILLA DEL MONTE;146327.0;76809.0;140000.0;299.0;222.0;250.0;820.0;375.0;922.0;15
CARLOMAGNO;60000.0;;60000.0;1034.0;;1034.0;;;;1
CASA GRANDE;112429.0;117632.0;53000.0;94.0;48.0;82.0;562.0;212.0;469.0;7
CASEROS ESTE;102000.0;;102000.0;408.0;;408.0;638.0;;638.0;1
CAUSANA;296538.0;119310.0;255000.0;215.0;296.0;115.0;991.0;213.0;1026.0;13
COLINAS DE MANANTIALES;109132.0;21676.0;105000.0;688.0;113.0;699.0;848.0;140.0;826.0;44
COLONIA CAROYA;117600.0;64268.0;100000.0;249.0;81.0;222.0;742.0;228.0;661.0;15
COLONIA TIROLESA;105455.0;42747.0;85000.0;316.0;290.0;218.0;759.0;126.0;794.0;11
COPACABANA;55000.0;;55000.0;846.0;;846.0;;;;1
CORDOBA;169303.0;134372.0;130000.0;595.0;448.0;488.0;869.0;350.0;897.0;198
CORONEL BAIGORRIA;90000.0;;90000.0;1011.0;;1011.0;562.0;;562.0;1
