id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;tipoVendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo
5096853;DEPARTAMENTO;55000;31-07-2023;Inmobiliaria;55.0;;1.0;1.0;;CENTRO;CORDOBA;;;True
4963173;DEPARTAMENTO;145000;31-07-2023;Inmobiliaria;65.0;;1.0;2.0;1.0;;VILLA CARLOS PAZ;;;True
5098819;DEPARTAMENTO;55000;31-07-2023;Inmobiliaria;65.0;;2.0;1.0;;CENTRO;CORDOBA;;;True
5085024;DEPARTAMENTO;68000;31-07-2023;Inmobiliaria;50.0;;1.0;;;GENERAL PAZ;CORDOBA;;;True
5097639;CASA;195000;31-07-2023;Inmobiliaria;240.0;200.0;3.0;4.0;2.0;MANANTIALES;CORDOBA;-31.4522;-64.240195;True
5043565;DEPARTAMENTO;62000;31-07-2023;Inmobiliaria;42.0;;1.0;1.0;;GUEMES;CORDOBA;;;True
5083082;DEPARTAMENTO;65000;31-07-2023;Inmobiliaria;60.0;;1.0;1.0;;GENERAL PAZ;CORDOBA;;;True
4925817;DEPARTAMENTO;87000;31-07-2023;Inmobiliaria;50.0;;1.0;;;NUEVA CORDOBA;CORDOBA;;;True
5032249;DEPARTAMENTO;59000;31-07-2023;Inmobiliaria;48.0;;1.0;;;GENERAL PAZ;CORDOBA;;;True
4996340;SEMIPISO;529000;31-07-2023;Inmobiliaria;250.0;;4.0;4.0;2.0;NUEVA CORDOBA;CORDOBA;;;True
5072639;CASA;200000;31-07-2023;Inmobiliaria;157.0;227.0;;2.0;1.0;CENTRO;CORDOBA;-31.418173;-64.19115;True
5091907;DEPARTAMENTO;50000;31-07-2023;Inmobiliaria;;;1.0;1.0;;NUEVA CORDOBA;CORDOBA;-31.424939;-64.179087;True
5082701;CASA;82000;31-07-2023;Inmobiliaria;145.0;75.0;2.0;2.0;1.0;MANANTIALES;CORDOBA;-31.472334;-64.261236;True
4508342;DUPLEX;159000;31-07-2023;Inmobiliaria;180.0;;3.0;2.0;3.0;CANITAS;CORDOBA;;;True
4466417;GALPONES DEPOSITOS;125000;31-07-2023;Inmobiliaria;400.0;400.0;;;;SAN ANTONIO;CORDOBA;-31.382422;-64.217875;True
5021817;CASA;545000;31-07-2023;Inmobiliaria;2160.0;524.0;3.0;;5.0;SAN ISIDRO;VILLA ALLENDE;-31.300588;-64.278213;True
4844735;DEPARTAMENTO;77390;31-07-2023;Inmobiliaria;53.0;;1.0;1.0;;MANANTIALES;CORDOBA;-31.455046;-64.241537;True
5093938;DEPARTAMENTO;50000;31-07-2023;Inmobiliaria;50.0;;1.0;1.0;;NUEVA CORDOBA;CORDOBA;;;True
5063512;TERRENOS LOTES;26500;31-07-2023;Inmobiliaria;259.0;;;;;MANANTIALES;CORDOBA;;;True
5055427;DEPARTAMENTO;40800;31-07-2023;Inmobiliaria;33.0;;1.0;1.0;;GUEMES;CORDOBA;;;True
4768951;DEPARTAMENTO;42000;31-07-2023;Inmobiliaria;40.0;;1.0;1.0;;SAN MARTIN;CORDOBA;;;True
4805800;CASA;160000;31-07-2023;Inmobiliaria;363.0;250.0;4.0;3.0;2.0;LOMAS DE SAN MARTIN;CORDOBA;-31.384475;-64.206266;True
4839545;CASA;85000;31-07-2023;Inmobiliaria;200.0;130.0;2.0;1.0;1.0;JUNIORS;CORDOBA;-31.416017;-64.163491;True
4594379;DEPARTAMENTO;58000;31-07-2023;Inmobiliaria;42.0;;1.0;;;NUEVA CORDOBA;CORDOBA;-31.74132;-60.511547;True
4619884;CASA;690000;31-07-2023;Inmobiliaria;1500.0;502.0;4.0;4.0;2.0;LA CASCADA COUNTRY GOLF;CORDOBA;-31.46459;-64.259967;True
4557963;CASA;500000;31-07-2023;Inmobiliaria;1500.0;400.0;3.0;4.0;2.0;LOMAS DE LA CAROLINA;CORDOBA;-31.347888;-64.298433;True
4553253;CASA;129000;31-07-2023;Inmobiliaria;320.0;270.0;4.0;2.0;2.0;QUEBRADA DE LAS ROSAS;CORDOBA;-31.396115;-64.257491;True
4659864;CASA;95000;31-07-2023;Inmobiliaria;170.0;120.0;2.0;1.0;1.0;RESIDENCIAL AMERICA;CORDOBA;-31.381868;-64.156178;True
