id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad
1376704569;CASA;80000;12-07-2023;480.0;80.0;2.0;2.0;1.0;ALTA GRACIA COUNTRY GOLF;ALTA GRACIA
1447637188;CASA;70000;12-07-2023;505.0;95.0;2.0;1.0;1.0;SANTA TERESA DE JESUS;ALTA GRACIA
1184152153;CASA;56900;12-10-2022;600.0;;;;;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1361333611;CASA;118000;16-03-2023;400.0;193.0;5.0;2.0;2.0;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1362655069;CASA;80000;16-03-2023;505.0;90.0;3.0;1.0;1.0;PORTALES DEL TALA;ALTA GRACIA
1447369220;CASA;85000;11-07-2023;150.0;130.0;3.0;2.0;1.0;CAMARA;ALTA GRACIA
1243345619;CASA;100000;12-11-2022;650.0;120.0;1.0;1.0;1.0;VILLA CAMIARES;ALTA GRACIA
1243726774;CASA;300000;12-11-2022;500.0;260.0;6.0;2.0;;BARRIO NORTE;ALTA GRACIA
1375105401;CASA;295000;29-06-2023;1039.0;260.0;3.0;3.0;2.0;ALTA GRACIA COUNTRY GOLF;ALTA GRACIA
1138429090;CASA;195000;18-07-2022;628.0;246.0;4.0;2.0;2.0;BARRIO NORTE;ALTA GRACIA
1244827145;CASA;30000;12-11-2022;45.0;;1.0;1.0;;CENTRO;ALTA GRACIA
1373037902;CASA;58000;16-03-2023;140.0;60.0;2.0;1.0;2.0;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1425200328;CASA;15900;28-05-2023;147.0;54.0;1.0;1.0;1.0;LINIERS;ALTA GRACIA
1365573881;CASA;180000;16-04-2023;211.0;191.0;3.0;2.0;;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1394399690;CASA;79000;16-04-2023;390.0;136.0;3.0;1.0;1.0;BARRIO NORTE;ALTA GRACIA
1383879938;CASA;33000;16-04-2023;65.0;65.0;2.0;1.0;1.0;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1361056478;CASA;620000;16-03-2023;1600.0;500.0;7.0;5.0;2.0;POTRERILLO DE LARRETA;ALTA GRACIA
1448006708;CASA;400000;12-07-2023;2250.0;400.0;3.0;3.0;;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1376819043;CASA;380000;12-07-2023;1408.0;;5.0;;;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1449042820;CASA;235000;13-07-2023;1572.0;150.0;3.0;2.0;;POTRERILLO DE LARRETA;ALTA GRACIA
1377192901;CASA;60000;14-07-2023;580.0;;2.0;1.0;1.0;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1448047092;CASA;150000;12-07-2023;2844.0;178.0;3.0;1.0;1.0;INMUEBLES_NOINDEX_TRUE?FILTER=CITY;ALTA GRACIA
1450185256;CASA;64500;15-07-2023;200.0;140.0;3.0;2.0;1.0;PARQUE DEL VIRREY;ALTA GRACIA
1380961262;CASA;32000;16-04-2023;91.0;72.0;2.0;1.0;;BARRIO NORTE;ALTA GRACIA
1321018302;CASA;85000;13-02-2023;500.0;161.0;3.0;2.0;1.0;BARRIO NORTE;ALTA GRACIA
1295618505;CASA;95000;13-01-2023;363.0;100.0;3.0;2.0;;VILLA JUANA;ALTA GRACIA
