id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo
51435283;CASA;68000;06-04-2023;INMOBILIARIA;300;98;3;2;2;CASA EN VILLA SAN NICOLAS 2A. SECCION;SANTA MARIA;-31.4363504;-64.4627888;False
50824303;TERRENOS;57000;07-12-2022;INMOBILIARIA;766;;;;;CUESTA COLORADA;LA CALERA;-31.35585976;-64.3151474;False
50824344;TERRENOS;6300;07-12-2022;INMOBILIARIA;300;;;;;LOTES EN VILLA YACANTO CON ESCRITURA;VILLA YACANTO;-32.08906555;-64.76132965;False
50824430;TERRENOS;39900;07-12-2022;INMOBILIARIA;5188;;;;;CENTRO;CORDOBA;-31.444085878255;-64.102014539531;False
50825413;TERRENOS;16500;09-12-2022;INMOBILIARIA;1022;;;;;LOTE EN VENTA EN POTRERO DE GARAY UBICACION EXC;POTRERO DE GARAY;-31.8112609;-64.54219;False
50825426;TERRENOS;75000;09-12-2022;INMOBILIARIA;8282;;;;;TERRENO CON ARROYO, A POCAS CUADRAS DEL CENTRO DE VILLA GENERAL BELGRANO;VILLA GENERAL BELGRANO;-31.959318187;-64.5764931081;False
50825451;TERRENOS;16000;10-12-2022;INMOBILIARIA;900;;;;;LOTE EN VENTA EN VILLA YACANTO - CON ESCRITURA;VILLA YACANTO;-32.10620499;-64.75474548;False
50825478;TERRENOS;49;07-12-2022;INMOBILIARIA;5350;;;;;LOTEO PARA GALPONES AV JAPON DESDE 2500 M;CORDOBA;-31.336543440821;-64.170928001404;False
50825485;CASA;670000;07-12-2022;INMOBILIARIA;3000;630;4;4;3;LOMAS DE LA CAROLINA;CORDOBA;-31.3497738;-64.2995648;False
50825486;TERRENOS;73900;07-12-2022;PARTICULAR;300;;;;;NUEVO URCA;CORDOBA;-31.37864164078;-64.268828630447;False
50825541;DEPARTAMENTO;299000;07-12-2022;INMOBILIARIA;219;204;3;2;2;DPTO DE CATEGORIA 3 DORM EN CASONAS DEL CERRO;CORDOBA;-31.381110144715;-64.224561452866;False
50825558;TERRENOS;110000;07-12-2022;INMOBILIARIA;1071;;;;;LA DESEADA COUNTRY;LA CALERA;-31.35559464;-64.32271576;False
50825577;CASA;1549000;08-12-2022;INMOBILIARIA;1000;1000;4;5;4;EXCLUSIVA CASA EN COUNTRY LA RUFINA 4 DORM.;LA CALERA;-31.349666;-64.3103966;False
50825584;CASA;105900;08-12-2022;INMOBILIARIA;120;120;2;1;;URCA;CORDOBA;-31.378618023851;-64.268970582966;False
50825610;TERRENOS;150;07-12-2022;INMOBILIARIA;380;380;;;;MALAGUENO;MALAGUENO;-31.44342613;-64.35957336;False
50857443;TERRENOS;900000;15-12-2022;INMOBILIARIA;515;;;;;GENERAL PAZ;CORDOBA;-31.4129988;-64.1640209999999;False
50826422;TERRENOS;20000;07-12-2022;INMOBILIARIA;2200;;;;;LOTES EN MIRADOR DEL LAGO;BIALET MASSE;-31.29844856;-64.46669769;False
50826669;TERRENOS;59000;07-12-2022;INMOBILIARIA;227;;;;;VENDO IMPERDIBLE TERRENO CERCA DEL CENTRO;VILLA CARLOS PAZ;-31.4277571;-64.5035698;False
50826670;TERRENOS;85000;07-12-2022;INMOBILIARIA;1000;;;;;LIQUIDACION DOS LOTES ZONA PARA INVERSIONISTAS O FAMILIAS CON GAS NATURAL;VILLA CARLOS PAZ;-31.4222181;-64.4989093;False
50826675;CASA;98000;07-12-2022;INMOBILIARIA;450;150;4;3;2;VILLA DEL LAGO OPORTUNIDAD CASA A REFACCIONAR SOBRE CALLE PRINCIPAL;VILLA CARLOS PAZ;-31.3977922;-64.4999228;False
50826683;CASA;100000;11-12-2022;INMOBILIARIA;450;180;4;3;2;VENTA HERMOSA CASA, MAS DPTO Y PILETA CERCA DEL RIO PLAYAS DE ORO 1;VILLA CARLOS PAZ;-31.4207828;-64.4992141;False
51971589;DEPARTAMENTO;69800;13-07-2023;INMOBILIARIA;59;50;1;1;;NUEVA CORDOBA;CORDOBA;-31.4295987;-64.1854967;True
49342508;CASA;135000;01-08-2022;INMOBILIARIA;150;120;3;3;2;PARQUE ATLANTICA;CORDOBA;-31.45716095;-64.20963287;False
51786342;DEPARTAMENTO;125000;05-06-2023;INMOBILIARIA;110;84;2;2;1;GENERAL PAZ;CORDOBA;-31.4141513;-64.1618657;False
51766776;CASA;105000;05-06-2023;PARTICULAR;100;95;3;2;1;JARDIN;CORDOBA;-31.45781136;-64.16285706;False
51917354;DEPARTAMENTO;65000;03-07-2023;INMOBILIARIA;60;44;1;1;1;NUEVA CORDOBA;CORDOBA;-31.4220179;-64.1824089;True
49431099;CASA;320000;01-08-2023;INMOBILIARIA;672;200;3;2;2;VALLE ESCONDIDO;CORDOBA;-31.3680759;-64.2801063;True
50638683;TERRENOS;35000;04-11-2022;INMOBILIARIA;350;;;;;MANANTIALES;CORDOBA;-31.4570152;-64.2381063;False
52056969;TERRENOS;35000;29-07-2023;INMOBILIARIA;350;;;;;LAS CANITAS BARRIO PRIVADO;SANTA MARIA;-31.4641811;-64.4260882;True
49653563;CASA;55000;01-08-2022;INMOBILIARIA;131;95;2;1;;ALBERDI;CORDOBA;-31.4067675;-64.2097651;False
50314910;CASA;165000;20-09-2022;PARTICULAR;624;284;3;2;2;CERRO DE LAS ROSAS;CORDOBA;-31.37662506;-64.23327637;False
48535952;TERRENOS;72900;01-08-2022;INMOBILIARIA;3524;;;;;PENON DEL AGUILA;LA CUMBRECITA;-31.8894748395;-64.7565378253;False
50144440;CASA;220000;12-08-2022;INMOBILIARIA;360;230;3;3;2;PRADOS DE MANANTIALES;CORDOBA;-31.4611722;-64.234616;False
49580471;CASA;138000;31-07-2022;PARTICULAR;507;;;;;CASA EN VENTA RIO CEBALLOS CON PILETA APTO CREDITO;RIO CEBALLOS;-31.1737267;-64.3123326;False
49528047;CASA;93000;31-07-2022;INMOBILIARIA;125;115;3;1;2;INAUDI;CORDOBA;-31.4763029;-64.1949977;False
50710649;DEPARTAMENTO;28900;20-11-2022;INMOBILIARIA;52;52;2;1;;CENTRO;CORDOBA;-31.41927909999999;-64.1760316;False
