id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad
5082062;DEPARTAMENTO;325000;23-07-2023;220;;3;3;2;CHATEAU CARRERAS;CORDOBA
4984044;DUPLEX;88500;23-07-2023;150;;2;;;MANANTIALES;CORDOBA
4576889;DEPARTAMENTO;110000;23-07-2023;93;;2;2;;LAS ROSAS;CORDOBA
5008451;CASA;117000;23-07-2023;260;130;3;2;2;PARQUE COREMA;CORDOBA
4953058;DEPARTAMENTO;120000;23-07-2023;150;;3;2;;NUEVA CORDOBA;CORDOBA
4873596;DEPARTAMENTO;68000;23-07-2023;42;;1;1;;NUEVA CORDOBA;CORDOBA
5052613;CASA;175000;23-07-2023;230;170;3;3;2;ARGUELLO;CORDOBA
4988640;CASA;150000;23-07-2023;360;190;3;3;2;DOCTA URBANIZACION INTELIGENTE;CORDOBA
4953074;DEPARTAMENTO;120000;23-07-2023;150;;3;2;;NUEVA CORDOBA;CORDOBA
5082445;DEPARTAMENTO;112500;23-07-2023;1;;2;2;1;SAN ISIDRO;VILLA ALLENDE
5022792;CASA;300000;23-07-2023;880;409;4;4;;PROVIDENCIA;CORDOBA
4819167;DEPARTAMENTO;65000;23-07-2023;48;;1;1;;GENERAL PAZ;CORDOBA
4961952;DEPARTAMENTO;149000;23-07-2023;1;;2;2;;CLAROS DEL BOSQUE;CORDOBA
5031380;DEPARTAMENTO;63000;23-07-2023;56;;1;;;GENERAL PAZ;CORDOBA
4576886;DEPARTAMENTO;71000;23-07-2023;58;;1;1;;LAS ROSAS;CORDOBA
4436818;DEPARTAMENTO;42000;23-07-2023;47;;1;;;PUEYRREDON;CORDOBA
5091098;DEPARTAMENTO;70000;23-07-2023;60;;1;1;;ALTO ALBERDI;CORDOBA
5009595;CASA;380000;23-07-2023;890;330;3;;2;LA RESERVA;CORDOBA
5043000;DEPARTAMENTO;31000;23-07-2023;42;;1;1;;ALTO ALBERDI;CORDOBA
5082642;CASA;650000;23-07-2023;1600;;4;;2;LAS DELICIAS;CORDOBA
5060395;DEPARTAMENTO;110000;23-07-2023;95;;2;2;;GENERAL PAZ;CORDOBA
5040699;TERRENOS LOTES;44500;23-07-2023;362;;;;;;DISTRITO SUR
3551966;DEPARTAMENTO;100000;23-07-2023;100;;3;2;;CENTRO;CORDOBA
4197401;CASA;395000;23-07-2023;1250;500;3;4;3;VILLA BELGRANO;CORDOBA
4355716;CASA;700000;23-07-2023;2000;500;4;4;3;LOMAS DE LA CAROLINA;CORDOBA
4422268;CASA;96000;23-07-2023;271;150;3;1;1;JARDIN;CORDOBA
4180529;DUPLEX;200000;23-07-2023;195;200;3;3;2;VILLA BELGRANO;CORDOBA
4353380;DEPARTAMENTO;55000;23-07-2023;;;1;1;;ALTO ALBERDI;CORDOBA
3321203;TERRENOS LOTES;20000;23-07-2023;450;;;;;;UNQUILLO
4323103;DEPARTAMENTO;55000;23-07-2023;;;1;1;1;NUEVA CORDOBA;CORDOBA
3493230;DEPARTAMENTO;50000;23-07-2023;40;;1;1;;NUEVA CORDOBA;CORDOBA
4409244;DEPARTAMENTO;210000;23-07-2023;;;2;2;;NUEVA CORDOBA;CORDOBA
