id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;tipoVendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo;URL
5009595;CASA;380000;14-08-2023;INMOBILIARIA;890;330;3;-1;2;LA RESERVA;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5009595/reserva-3-dormitorios-pileta
5035679;CASA;2000;14-08-2023;INMOBILIARIA;4000;600;4;3;-1;;LA ARBOLADA HOLLYWOOD;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5035679/casa-en-alquiler-arbolada-hollywood-malagueno
4469196;CASA;590000;14-08-2023;INMOBILIARIA;1612;510;4;4;3;EL BOSQUE;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/4469196/country-bosque-gran-casa-45-dormitorios-categoria-430-cub-1500-terr
5112999;DEPARTAMENTO;95000;14-08-2023;INMOBILIARIA;-1;-1;2;2;-1;NUEVA CORDOBA;CORDOBA;-31.425101;-64.183709;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5112999/se-vende-departamento-de-dos-dormitorios-sobre-blvd-chacabuco-660
5023207;DÚPLEX;180000;14-08-2023;INMOBILIARIA;187;-1;3;3;2;CANUELAS CHICOS;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5023207/canuelas-chico-3-dorm-a-estrenar-venta
5023105;CASA;650000;14-08-2023;INMOBILIARIA;1500;583;4;-1;2;LOMAS DE LA CAROLINA;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5023105/lomas-de-carolina-importante-casa-4-dorm-dependencia-583-cub-1500-terr
4572789;DEPARTAMENTO;94000;14-08-2023;INMOBILIARIA;-1;-1;2;2;-1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4572789/espectacular-dpto-2-dorm-opc-cochera
5096829;CASA;349000;14-08-2023;INMOBILIARIA;1923;635;3;-1;-1;QUINTAS DE ARGUELLO;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5096829/imponente-casa-en-country-estancia-molino
5063512;TERRENOS LOTES;26500;14-08-2023;INMOBILIARIA;259;-1;-1;-1;-1;MANANTIALES;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/5063512/lote-en-venta-abras-de-manantiales-259m2-residencial
4967971;CASA;380000;14-08-2023;INMOBILIARIA;1388;230;3;-1;-1;LA RUFINA;LA CALERA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/4967971/casa-en-venta-en-rufina-oportunidad-390mil-dol-3dorm-3banos
4988640;CASA;150000;14-08-2023;INMOBILIARIA;360;190;3;3;2;DOCTA URBANIZACION INTELIGENTE;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/4988640/docta-casa-no-duplex-3-dorm-1-en-suite-con-vestidor
4891288;CASA;195000;14-08-2023;INMOBILIARIA;615;250;3;2;2;ARGUELLO;CORDOBA;-31.345797;-64.27626;True;https://clasificados.lavoz.com.ar/avisos/casas/4891288/3-dorm-departamento-independiente-escritorio-galeria
5099229;DEPARTAMENTO;85000;14-08-2023;INMOBILIARIA;0;-1;2;2;-1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5099229/2-dorm-2-banos-cal-ctral-pileta-quincho
5095090;CASA;60000;14-08-2023;INMOBILIARIA;190;110;2;-1;-1;MARQ. DE SOBREMONTE;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5095090/casa-2-dormitorios-cochera-quincho-y-patio
5043565;DEPARTAMENTO;62000;14-08-2023;INMOBILIARIA;42;-1;1;1;-1;GUEMES;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5043565/1dor-zona-patio-olmos-brava-2-oportunidad
5097125;DEPARTAMENTO;95000;14-08-2023;INMOBILIARIA;-1;-1;2;1;-1;NUEVA CORDOBA;CORDOBA;-31.422601;-64.185243;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5097125/a-metros-del-buen-pastor-2-dormitorios-con-escritura-y-posesion-inmedia
4895699;DEPARTAMENTO;100000;14-08-2023;INMOBILIARIA;90;-1;3;3;-1;CENTRO;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4895699/impecable-inmejorable-ubicacion-depend-serv
4813163;CASA;275000;14-08-2023;INMOBILIARIA;1745;420;4;4;2;VILLA BELGRANO;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/4813163/casa-4-dormitorios-1745-mts-terr-420-mts-cub-villa-belgrano
5082566;CASA;95000;14-08-2023;INMOBILIARIA;562;160;3;-1;-1;EL TALAR;MENDIOLAZA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5082566/hermosa-casa-3-dorm-c-pileta-talar-de-mendiolaza
5055427;DEPARTAMENTO;40800;14-08-2023;INMOBILIARIA;33;-1;1;1;-1;GUEMES;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5055427/depto-oportunidad-en-guemes-entrega-2024
5043215;DEPARTAMENTO;65000;14-08-2023;INMOBILIARIA;0;-1;1;1;-1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5043215/a-estrenar-balcon-dormitorio-muy-amplio
